"","M1001","M1002","M1003","M1004","M1005","M4001","M4002","M4003","M4004","M4005"
"RGL4",1.85234509293156,1.41692550277757,2.38837294058177,3.1161677268935,1.30561118270159,-2.45541241318083,-1.61737961669934,-2.02575253458778,-1.6721140752027,-2.30876380621535
"HK3",2.0692471751596,3.59492599600712,1.34439451642256,2.99801987448575,-0.0216016278167928,-1.6427806556794,0.365264915746122,-3.56141841215604,-1.4382284868103,-3.70782329535861
"GBP4",-0.00311929459696003,-1.37619737929717,-2.90917586598817,-2.66396245129823,-2.07527031543193,2.7056556283482,2.3854014466674,1.0558489604736,2.06357457284319,0.81724469828008
"S100A9",2.31483889292198,1.68179023988298,2.81956742359834,2.96198917736986,1.3240502242541,-1.62876508553328,-0.0416559526926896,-3.43634046264381,-1.52064288447999,-4.47483157267749
"EIF4E3",2.76442421518453,1.75772546592022,-0.947411270380683,-2.31474235830544,2.11130195938151,2.27833769279641,-0.185070638694428,-3.1966054082196,-3.35066123372722,1.0827015760447
"MNDA",2.10017184541884,0.719888552292572,2.66935801607234,2.5320520356441,1.7366504395565,-2.03056111922618,-1.12408413490594,-2.67763284604264,-1.96288516733712,-1.9629576214725
"S100P",1.7538995452668,1.31302743744243,2.87930639593658,3.040529373974,1.76105599511726,-2.90301285028604,-0.913520439495525,-2.24927321230796,-2.07120911439197,-2.61080313125558
"DEFA4",3.57917803474224,2.55505633953444,5.03516264982859,3.29839402311003,-1.86801564625453,-1.76246701832333,-0.705033060530226,-1.55962263502093,-2.34844164920545,-6.22421103788083
"NFIL3",1.45295307128061,1.76263647726485,2.63673027283953,1.93436167337579,1.84988741474327,-2.12393627637205,-0.0961930954666297,-2.70647070573225,-2.19151102050659,-2.51845781142653
"FBN1",3.76334194876669,1.5080298832209,-3.30135766483665,3.88088738926552,3.33684142694421,-1.06322209065579,-2.34847224561731,-3.10496100915675,-0.705878104714551,-1.96520953321628
"CD52",-2.37153622117212,-0.669967695081437,-1.59056559182994,-1.50115500798228,-2.20413631970685,-0.222369850216654,2.38219931987906,3.63225459879301,3.19784115701157,-0.652564389694355
"MYO7B",2.19365194022914,2.6633735057375,1.26317707207295,2.18285658725347,2.60723967168954,-2.33026133747337,-1.73627523827073,-2.29216367849358,-2.84388814210276,-1.70771038064217
"PFKFB3",0.821793323604156,3.07432146037502,2.33269219117079,1.44336954536283,2.28822643637773,-2.32859947250589,-0.364013177615403,-2.5033526301479,-2.4131798299756,-2.35125784664575
"TRH",-0.91691569395631,-2.23579598628321,-3.19137627762762,-3.03901858765923,-2.45434024712951,2.18498618119866,1.4735768356317,2.16515189989374,2.8510201432438,3.16271173268798
"LRG1",1.95061993408231,2.45085829623373,2.47204600001939,2.13423689643156,1.05386983653748,-2.07251892066633,-1.11480108104221,-2.29766933377644,-2.67825489243727,-1.89838673538221
"CHD7",1.77101155970731,2.12556883841615,1.80635420429164,2.11401210860141,1.77130726320619,-1.98926438599225,0.0337970366673268,-2.92108342437248,-2.40869508248602,-2.30300811803929
"EGFL7",-1.08619990822431,-3.02746896797651,-2.72299891485195,-2.08195767802311,-3.05668741929682,2.59164925154456,2.41054607090367,2.02491216368048,2.77243822512575,2.17576717711824
"STOX2",1.79394591163696,2.11459181608993,1.43660070600879,1.04059615247816,2.67218568604977,-2.185450396754,-1.87719367296335,-3.06024652525788,-2.29727635791374,0.362246680625351
"OLR1",2.41621847209434,1.3344939176104,2.78843358078004,2.29553107437141,2.06646118262833,-1.34086842879482,-1.55994296090792,-3.0237476701742,-1.75400912872072,-3.22257003888685
"CD34",-1.18251279685261,-2.63711511974415,-3.18762835383694,-3.83423171063182,-1.80233859954357,2.90473743979821,3.38177580683679,1.85540864824475,1.88775700542728,2.61414768030205
"CIITA",-1.38699777902636,-2.72275501788417,-3.08615439483946,-3.01943613849989,-0.96137120800933,2.39209957465772,1.85850970468492,1.67566206223193,2.2155458983258,3.03489729835884
"ABCA13",2.27374624068124,2.12513736177676,3.36444323667173,2.50232697631497,2.56183384304642,-2.35782275372709,-1.92787183902764,-2.22732124412789,-2.34316849783723,-3.97130332377126
"ANXA2",-1.61869451764294,0.14555812691533,-0.381671913665905,-1.88305997195776,-3.31811749323687,1.48738640036252,4.0350086299789,0.612448269795659,2.40024694398282,-1.47910447453177
"TACSTD2",3.36966144476197,2.34763736319251,2.49497506518327,2.56063341043429,2.02191387036758,-1.60264179587354,-1.6190872132802,-3.59252374204712,-2.51739125821784,-3.46317714452093
"HIST1H2BL",-0.421192907451903,-2.15404451391278,-0.997502374255401,-0.117295030248805,-4.00288901743226,1.02771320155763,0.155795578599751,3.53509462804655,2.44414108765915,0.53017934743807
"CD24P4",2.89518143240587,1.92305697494359,3.36612868272969,3.5018169579328,1.4046473365256,-1.79818083974405,-1.08376886116288,-3.33396925161372,-1.85113186479949,-5.0237805672174
"FCAR",1.71003813340429,3.21098552094691,2.61373408901837,2.42182899021249,1.99862484530028,-2.39512656186685,-0.908636153703114,-3.11003082776852,-2.06219475453357,-3.47922328101029
